"죄종별","항목","단위","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년",
"영아살해죄","검거인원(계)[명]","명","1","1","1","6","","","","","","","","","","","","","","","","","",
"영아살해죄","검거인원(남)[명]","명","","1","1","4","","","","","","","","","","","","","","","","","",
"영아살해죄","검거인원(여)[명]","명","1","","","2","","","","","","","","","","","","","","","","","",
"영아살해죄","성년(계)[명]","명","","1","1","6","","","","","","","","","","","","","","","","","",
"영아살해죄","성년(남)[명]","명","","1","1","4","","","","","","","","","","","","","","","","","",
"영아살해죄","성년(여)[명]","명","","","","2","","","","","","","","","","","","","","","","","",
"영아살해죄","미성년(계)[명]","명","1","","","","","","","","","","","","","","","","","","","","",
"영아살해죄","미성년(여)[명]","명","1","","","","","","","","","","","","","","","","","","","","",
"살인미수예비음모죄","발생건수[건]","건","6","8","9","14","","","","","","","","","","","","","","","","","",
"살인미수예비음모죄","검거건수[건]","건","9","11","10","12","","","","","","","","","","","","","","","","","",
"살인미수예비음모죄","검거율[%]","%","150","137.5","111.1","85.7","","","","","","","","","","","","","","","","","",
"살인미수예비음모죄","검거인원(계)[명]","명","8","11","9","16","","","","","","","","","","","","","","","","","",
"살인미수예비음모죄","검거인원(남)[명]","명","6","10","8","14","","","","","","","","","","","","","","","","","",
"살인미수예비음모죄","검거인원(여)[명]","명","2","1","1","2","","","","","","","","","","","","","","","","","",
"살인미수예비음모죄","성년(계)[명]","명","8","11","9","16","","","","","","","","","","","","","","","","","",
"살인미수예비음모죄","성년(남)[명]","명","6","10","8","14","","","","","","","","","","","","","","","","","",
"살인미수예비음모죄","성년(여)[명]","명","2","1","1","2","","","","","","","","","","","","","","","","","",
"강도","발생건수[건]","건","1541","1071","986","1150","1191","957","855","979","1154","1106","1399","1874","2134","2841","1655","1478","1201","1077","947","1510","1030",
"강도","검거건수[건]","건","1238","1009","1257","1501","1231","943","881","999","1142","1085","1064","1412","2013","2970","1445","1259","1112","982","818","1432","920",
"강도","검거율[%]","%","80.3","94.2","127.5","130.5","103.4","98.5","103","102","99","98.1","76.1","75.3","94.3","104.5","87.3","85.2","92.6","91.2","86.4","94.8","89.3",
"강도","검거인원(계)[명]","명","1820","1554","1409","2067","2021","1476","1313","1581","1926","1878","1831","1861","1902","2442","2100","1923","1914","1917","1789","2865","1652",
"강도","검거인원(남)[명]","명","1795","1526","1373","2015","1972","1441","1293","1555","1900","1812","1745","1741","1755","2265","1871","1758","1742","1745","1627","2546","1507",
"강도","검거인원(여)[명]","명","25","28","36","52","49","35","20","26","26","66","86","120","147","177","229","165","172","172","162","319","145",
"강도","성년(계)[명]","명","949","804","848","1213","1076","829","747","808","1167","1272","1246","1400","1473","1976","1828","1634","1634","1593","1516","2424","1439",
"강도","성년(남)[명]","명","933","791","826","1176","1039","812","731","788","1148","1225","1182","1306","1366","1832","1632","1519","1502","1484","1398","2187","1332",
"강도","성년(여)[명]","명","16","13","22","37","37","17","16","20","19","47","64","94","107","144","196","115","132","109","118","237","107",
"강도","미성년(계)[명]","명","871","750","561","854","945","647","566","773","759","606","585","461","429","466","272","289","280","324","273","441","213",
"강도","미성년(남)[명]","명","862","735","547","839","933","629","562","767","752","587","563","435","389","433","239","239","240","261","229","359","175",
"강도","미성년(여)[명]","명","9","15","14","15","12","18","4","6","7","19","22","26","40","33","33","50","40","63","44","82","38",
"강도","발생건수[건]","건","","","","","198","191","162","151","189","179","395","646","671","823","457","413","334","252","237","385","314",
"강도","검거건수[건]","건","","","","","168","153","161","136","163","152","140","199","381","635","295","273","259","172","151","329","220",
"강도","검거율[%]","%","","","","","84.8","80.1","99.4","90.1","86.2","84.9","35.4","30.8","56.8","77.2","64.6","66.1","77.5","68.3","63.7","85.5","70.1",
"강도","검거인원(계)[명]","명","","","","","200","176","161","152","195","196","158","154","184","217","203","233","217","236","223","377","238",
"강도","검거인원(남)[명]","명","","","","","196","170","157","150","193","183","149","148","179","204","195","224","205","225","209","339","217",
"강도","검거인원(여)[명]","명","","","","","4","6","4","2","2","13","9","6","5","13","8","9","12","11","14","38","21",
"강도","성년(계)[명]","명","","","","","106","131","96","87","146","139","122","132","160","190","189","219","209","217","208","344","227",
"강도","성년(남)[명]","명","","","","","102","125","92","85","144","126","114","126","156","177","181","211","197","206","195","308","206",
"강도","성년(여)[명]","명","","","","","4","6","4","2","2","13","8","6","4","13","8","8","12","11","13","36","21",
"강도","미성년(계)[명]","명","","","","","94","45","65","65","49","57","36","22","24","27","14","14","8","19","15","33","11",
"강도","미성년(남)[명]","명","","","","","94","45","65","65","49","57","35","22","23","27","14","13","8","19","14","31","11",
"강도","미성년(여)[명]","명","","","","","","","","","","","1","","1","","","1","","","1","2","",
"특수강도","발생건수[건]","건","","","","","385","239","214","236","336","286","304","331","444","732","370","379","284","290","255","456","256",
"특수강도","검거건수[건]","건","","","","","433","249","222","242","331","265","274","322","518","810","389","361","288","286","243","441","257",
"특수강도","검거율[%]","%","","","","","112.5","104.2","103.7","102.5","98.5","92.7","90.1","97.3","116.7","110.7","105.1","95.3","101.4","98.6","95.3","96.7","100.4",
"특수강도","검거인원(계)[명]","명","","","","","725","442","402","456","615","572","511","450","486","743","689","646","665","664","656","1328","709",
"특수강도","검거인원(남)[명]","명","","","","","708","430","393","445","601","550","482","417","447","650","575","586","580","613","596","1181","640",
"특수강도","검거인원(여)[명]","명","","","","","17","12","9","11","14","22","29","33","39","93","114","60","85","51","60","147","69",
"특수강도","성년(계)[명]","명","","","","","338","206","200","179","362","359","336","324","342","578","593","503","544","536","554","1080","587",
"특수강도","성년(남)[명]","명","","","","","325","201","193","171","353","343","317","298","308","499","494","459","477","506","511","974","543",
"특수강도","성년(여)[명]","명","","","","","13","5","7","8","9","16","19","26","34","79","99","44","67","30","43","106","44",
"특수강도","미성년(계)[명]","명","","","","","387","236","202","277","253","213","175","126","144","165","96","143","121","128","102","248","122",
"특수강도","미성년(남)[명]","명","","","","","383","229","200","274","248","207","165","119","139","151","81","127","103","107","85","207","97",
"특수강도","미성년(여)[명]","명","","","","","4","7","2","3","5","6","10","7","5","14","15","16","18","21","17","41","25",
"특가법(강도)","발생건수[건]","건","","","","","38","33","12","36","16","22","21","43","83","101","35","64","39","31","21","56","7",
"특가법(강도)","검거건수[건]","건","","","","","47","37","16","40","19","28","21","93","111","216","39","34","38","22","24","48","4",
"특가법(강도)","검거율[%]","%","","","","","123.7","112.1","133.3","111.1","118.8","127.3","100","216.3","133.7","213.9","111.4","53.1","97.4","71","114.3","85.7","57.1",
"특가법(강도)","검거인원(계)[명]","명","","","","","50","33","25","62","52","69","44","60","31","36","28","12","27","11","30","10","2",
"특가법(강도)","검거인원(남)[명]","명","","","","","48","33","25","62","52","67","44","55","29","36","27","12","26","11","29","8","2",
"특가법(강도)","검거인원(여)[명]","명","","","","","2","","","","","2","","5","2","","1","","1","","1","2","",
"특가법(강도)","성년(계)[명]","명","","","","","30","22","15","26","26","50","33","52","20","34","23","12","25","9","25","10","2",
"특가법(강도)","성년(남)[명]","명","","","","","29","22","15","26","26","48","33","47","18","34","22","12","24","9","24","8","2",
"특가법(강도)","성년(여)[명]","명","","","","","1","","","","","2","","5","2","","1","","1","","1","2","",
