"죄종별(1)",죄종별(2),2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일
"특별경제범죄",소계,68026,5467,11507,11229,10956,10916,11145,6806,78155,7200,12853,12506,12091,12492,12671,8342,71019,6609,12199,11577,10651,11006,11527,7450,72908,7461,11928,11706,11536,10981,11312,7984,86329,8919,13867,13765,13872,13451,13090,9365,65025,6113,10131,10943,10292,10365,10401,6780,53356,5379,8486,8510,8558,8576,8342,5505,53994,4589,8830,8780,8728,8730,9005,5332,51400,3948,8724,8608,8477,8432,8502,4709,47826,3883,8167,8030,7757,7603,7847,4539,40708,2996,7098,7045,6654,6774,6589,3552,48615,3828,7994,8092,8006,8176,8034,4485
"마약범죄",소계,4160,418,642,686,656,606,654,498,4268,513,626,637,623,684,649,536,4598,463,757,681,696,699,781,521,4825,538,766,740,714,717,696,654,6411,729,1082,1003,984,980,901,732,7329,786,1143,1225,1118,1088,1200,769,7501,898,1166,1116,1206,1110,1066,939,6513,748,1038,1071,986,988,989,693,8038,789,1278,1352,1219,1195,1272,933,9186,962,1591,1435,1529,1387,1370,912,8088,865,1451,1266,1175,1238,1210,883,10331,1094,1761,1677,1508,1571,1628,1092
"보건범죄",소계,14083,985,2234,2480,2333,2430,2340,1281,16800,1032,2681,2813,2781,3049,2732,1712,20383,952,3426,3541,4915,3015,2959,1575,14657,917,2503,2634,2563,2479,2276,1285,14602,983,2439,2607,2574,2460,2189,1350,14662,1076,2288,2449,2413,2487,2545,1404,12561,1075,1941,1999,2142,2106,2062,1236,11033,934,1860,1760,1672,1839,1846,1122,12570,934,2051,2096,1962,2043,2085,1399,14595,1181,2378,2338,2237,2370,2361,1730,16936,1252,2509,3072,2621,2971,2761,1750,17749,1494,2571,2881,2645,2924,2983,2251
"환경범죄",소계,2649,225,430,451,409,412,500,222,3128,186,552,552,584,579,465,210,4135,230,666,713,611,619,1050,246,2536,177,450,464,430,407,428,180,2955,205,491,536,556,471,473,223,4349,335,715,764,738,732,687,378,4879,349,807,827,868,868,774,386,4791,382,822,854,778,749,819,387,3877,168,749,696,652,653,696,263,3568,153,706,662,655,622,569,201,3656,164,654,652,673,720,646,147,3477,161,615,623,618,695,621,144
"교통범죄",소계,536167,70572,70789,75429,76779,78133,81465,83000,542784,71365,70692,76466,76301,78722,84446,84792,573453,75094,75153,79694,81327,82147,90658,89380,573493,74665,76089,80751,81707,82368,89157,88756,596665,77266,79700,84929,84795,85819,92973,91183,600401,79265,80279,85163,85277,87438,91267,91712,501162,65739,66657,69933,71558,73767,76963,76545,408371,52166,54328,57482,58184,59736,63750,62725,377354,47698,51459,53605,54509,54846,58103,57134,348725,43196,48515,50332,49712,50518,54381,52071,308634,37318,42843,44212,44706,45010,48221,46324,241029,31817,31335,33544,34202,34872,38316,36943
"노동범죄",소계,1584,88,293,270,270,294,246,123,1391,89,244,215,250,279,213,101,1721,101,269,336,316,290,266,143,1308,42,188,181,163,192,479,63,1145,60,235,208,218,202,155,67,2457,84,468,570,406,425,397,107,2862,121,577,539,563,465,459,138,1883,67,397,355,299,349,339,77,975,85,162,139,168,175,143,103,356,18,81,73,52,62,53,17,406,16,75,86,81,69,64,15,714,82,106,124,101,116,109,76
"안보범죄",소계,131,15,7,26,19,20,13,31,109,21,19,19,12,6,19,13,135,19,19,13,25,15,18,26,84,10,9,18,13,14,13,7,121,11,29,16,17,23,15,10,81,4,14,16,11,16,6,14,98,11,14,12,18,17,12,14,69,10,14,12,10,10,9,4,169,36,25,13,22,25,24,24,216,29,38,30,40,34,23,22,206,22,47,31,39,20,34,13,219,20,37,31,24,73,18,16
"선거범죄",소계,212,15,31,33,48,30,27,28,1262,129,175,195,244,189,171,159,398,37,52,43,112,48,59,47,1874,212,268,282,317,302,265,228,760,76,133,123,143,107,103,75,1018,109,159,138,224,139,145,104,640,67,69,140,69,103,114,78,1897,177,313,295,327,292,302,191,611,65,90,91,100,113,95,57,829,94,128,121,166,116,102,102,274,27,48,41,45,48,40,25,2969,272,492,454,504,468,486,293
"병역범죄",소계,20587,183,4866,5768,2881,3410,3030,449,23143,445,5698,6053,3322,3781,3387,457,26173,329,6535,7420,3574,4048,3990,277,21549,206,5174,5263,3419,3861,3444,182,18726,219,4578,4515,2744,3319,3157,194,16651,178,3854,4422,2431,2750,2760,256,15327,272,3603,4442,2377,2287,2156,190,14271,149,3612,3656,2287,2253,2197,117,12712,111,3068,3580,1940,2082,1834,97,3845,38,979,856,595,734,594,49,1823,38,436,353,286,314,339,57,4638,67,885,1068,825,974,735,84
"기타범죄",소계,176357,17704,25924,27587,27386,27993,27202,22561,174267,18782,25162,26643,26501,26815,27614,22750,188956,19808,28841,28410,29775,28435,30155,23532,180526,19471,26773,28497,28295,27137,27629,22724,216197,22843,32957,33861,33968,33071,33180,26317,260539,29040,39069,40675,39676,40077,40735,31267,234871,24881,35693,36886,36964,37651,35902,26894,221862,22896,35126,34403,34617,35019,35007,24794,240168,25278,39244,37277,36996,37250,37367,26756,241829,25127,37465,37931,36489,38844,37686,28287,243082,24810,40602,38014,38846,37555,36777,26478,267964,26316,43168,42959,42011,42339,41501,29670
