crime_type_original,region_original,occurrence_count,year,source_file,duplicate_key
간통,관악,,2023,135_TX_13501_A048_20260915163340.csv,False
간통,관악,,2024,135_TX_13501_A048_20260915163340.csv,False
간통,광산,,1994,135_TX_13501_A048_20260915163423.csv,False
간통,광산,,1995,135_TX_13501_A048_20260915163423.csv,False
간통,광산,,1996,135_TX_13501_A048_20260915163423.csv,False
간통,광산,,1997,135_TX_13501_A048_20260915163423.csv,False
간통,광산,,1998,135_TX_13501_A048_20260915163423.csv,False
간통,광산,,1999,135_TX_13501_A048_20260915163423.csv,False
간통,광산,,2000,135_TX_13501_A048_20260915163423.csv,False
간통,광산,,2001,135_TX_13501_A048_20260915163423.csv,False
간통,광산,,2002,135_TX_13501_A048_20260915163423.csv,False
간통,광산,,2003,135_TX_13501_A048_20260915163423.csv,False
간통,광산,35.0,2004,135_TX_13501_A048_20260915163423.csv,False
간통,광산,25.0,2005,135_TX_13501_A048_20260915163423.csv,False
간통,광산,12.0,2006,135_TX_13501_A048_20260915163423.csv,False
간통,광산,22.0,2007,135_TX_13501_A048_20260915163423.csv,False
간통,광산,20.0,2008,135_TX_13501_A048_20260915163423.csv,False
간통,광산,21.0,2009,135_TX_13501_A048_20260915163423.csv,False
간통,광산,11.0,2010,135_TX_13501_A048_20260915163423.csv,False
간통,광산,28.0,2011,135_TX_13501_A048_20260915163340.csv,False
간통,광산,25.0,2012,135_TX_13501_A048_20260915163340.csv,False
간통,광산,13.0,2013,135_TX_13501_A048_20260915163340.csv,False
간통,광산,,2014,135_TX_13501_A048_20260915163340.csv,False
간통,광산,,2015,135_TX_13501_A048_20260915163340.csv,False
간통,광산,,2016,135_TX_13501_A048_20260915163340.csv,False
간통,광산,,2017,135_TX_13501_A048_20260915163340.csv,False
간통,광산,,2018,135_TX_13501_A048_20260915163340.csv,False
간통,광산,,2019,135_TX_13501_A048_20260915163340.csv,False
간통,광산,,2020,135_TX_13501_A048_20260915163340.csv,False
간통,광산,,2021,135_TX_13501_A048_20260915163340.csv,False
간통,광산,,2022,135_TX_13501_A048_20260915163340.csv,False
간통,광산,,2023,135_TX_13501_A048_20260915163340.csv,False
간통,광산,,2024,135_TX_13501_A048_20260915163340.csv,False
간통,광진,,1994,135_TX_13501_A048_20260915163423.csv,False
간통,광진,,1995,135_TX_13501_A048_20260915163423.csv,False
간통,광진,,1996,135_TX_13501_A048_20260915163423.csv,False
간통,광진,,1997,135_TX_13501_A048_20260915163423.csv,False
간통,광진,,1998,135_TX_13501_A048_20260915163423.csv,False
간통,광진,,1999,135_TX_13501_A048_20260915163423.csv,False
간통,광진,,2000,135_TX_13501_A048_20260915163423.csv,False
간통,광진,,2001,135_TX_13501_A048_20260915163423.csv,False
간통,광진,,2002,135_TX_13501_A048_20260915163423.csv,False
간통,광진,,2003,135_TX_13501_A048_20260915163423.csv,False
간통,광진,43.0,2004,135_TX_13501_A048_20260915163423.csv,False
간통,광진,27.0,2005,135_TX_13501_A048_20260915163423.csv,False
간통,광진,9.0,2006,135_TX_13501_A048_20260915163423.csv,False
간통,광진,22.0,2007,135_TX_13501_A048_20260915163423.csv,False
간통,광진,11.0,2008,135_TX_13501_A048_20260915163423.csv,False
간통,광진,16.0,2009,135_TX_13501_A048_20260915163423.csv,False
간통,광진,17.0,2010,135_TX_13501_A048_20260915163423.csv,False
간통,광진,9.0,2011,135_TX_13501_A048_20260915163340.csv,False
간통,광진,9.0,2012,135_TX_13501_A048_20260915163340.csv,False
간통,광진,13.0,2013,135_TX_13501_A048_20260915163340.csv,False
간통,광진,,2014,135_TX_13501_A048_20260915163340.csv,False
간통,광진,,2015,135_TX_13501_A048_20260915163340.csv,False
간통,광진,,2016,135_TX_13501_A048_20260915163340.csv,False
간통,광진,,2017,135_TX_13501_A048_20260915163340.csv,False
간통,광진,,2018,135_TX_13501_A048_20260915163340.csv,False
간통,광진,,2019,135_TX_13501_A048_20260915163340.csv,False
간통,광진,,2020,135_TX_13501_A048_20260915163340.csv,False
간통,광진,,2021,135_TX_13501_A048_20260915163340.csv,False
간통,광진,,2022,135_TX_13501_A048_20260915163340.csv,False
간통,광진,,2023,135_TX_13501_A048_20260915163340.csv,False
간통,광진,,2024,135_TX_13501_A048_20260915163340.csv,False
간통,구로,,1994,135_TX_13501_A048_20260915163423.csv,False
간통,구로,,1995,135_TX_13501_A048_20260915163423.csv,False
간통,구로,,1996,135_TX_13501_A048_20260915163423.csv,False
간통,구로,,1997,135_TX_13501_A048_20260915163423.csv,False
간통,구로,,1998,135_TX_13501_A048_20260915163423.csv,False
간통,구로,,1999,135_TX_13501_A048_20260915163423.csv,False
간통,구로,,2000,135_TX_13501_A048_20260915163423.csv,False
간통,구로,,2001,135_TX_13501_A048_20260915163423.csv,False
간통,구로,,2002,135_TX_13501_A048_20260915163423.csv,False
간통,구로,,2003,135_TX_13501_A048_20260915163423.csv,False
간통,구로,24.0,2004,135_TX_13501_A048_20260915163423.csv,False
간통,구로,17.0,2005,135_TX_13501_A048_20260915163423.csv,False
간통,구로,16.0,2006,135_TX_13501_A048_20260915163423.csv,False
간통,구로,27.0,2007,135_TX_13501_A048_20260915163423.csv,False
간통,구로,16.0,2008,135_TX_13501_A048_20260915163423.csv,False
간통,구로,14.0,2009,135_TX_13501_A048_20260915163423.csv,False
간통,구로,14.0,2010,135_TX_13501_A048_20260915163423.csv,False
간통,구로,5.0,2011,135_TX_13501_A048_20260915163340.csv,False
간통,구로,9.0,2012,135_TX_13501_A048_20260915163340.csv,False
간통,구로,8.0,2013,135_TX_13501_A048_20260915163340.csv,False
간통,구로,,2014,135_TX_13501_A048_20260915163340.csv,False
간통,구로,,2015,135_TX_13501_A048_20260915163340.csv,False
간통,구로,,2016,135_TX_13501_A048_20260915163340.csv,False
간통,구로,,2017,135_TX_13501_A048_20260915163340.csv,False
간통,구로,,2018,135_TX_13501_A048_20260915163340.csv,False
간통,구로,,2019,135_TX_13501_A048_20260915163340.csv,False
간통,구로,,2020,135_TX_13501_A048_20260915163340.csv,False
간통,구로,,2021,135_TX_13501_A048_20260915163340.csv,False
간통,구로,,2022,135_TX_13501_A048_20260915163340.csv,False
간통,구로,,2023,135_TX_13501_A048_20260915163340.csv,False
간통,구로,,2024,135_TX_13501_A048_20260915163340.csv,False
간통,금정,,1994,135_TX_13501_A048_20260915163423.csv,False
간통,금정,,1995,135_TX_13501_A048_20260915163423.csv,False
간통,금정,,1996,135_TX_13501_A048_20260915163423.csv,False
간통,금정,,1997,135_TX_13501_A048_20260915163423.csv,False
간통,금정,,1998,135_TX_13501_A048_20260915163423.csv,False
간통,금정,,1999,135_TX_13501_A048_20260915163423.csv,False
간통,금정,,2000,135_TX_13501_A048_20260915163423.csv,False
간통,금정,,2001,135_TX_13501_A048_20260915163423.csv,False
간통,금정,,2002,135_TX_13501_A048_20260915163423.csv,False
간통,금정,,2003,135_TX_13501_A048_20260915163423.csv,False
간통,금정,20.0,2004,135_TX_13501_A048_20260915163423.csv,False
간통,금정,14.0,2005,135_TX_13501_A048_20260915163423.csv,False
간통,금정,19.0,2006,135_TX_13501_A048_20260915163423.csv,False
간통,금정,14.0,2007,135_TX_13501_A048_20260915163423.csv,False
간통,금정,9.0,2008,135_TX_13501_A048_20260915163423.csv,False
간통,금정,10.0,2009,135_TX_13501_A048_20260915163423.csv,False
간통,금정,5.0,2010,135_TX_13501_A048_20260915163423.csv,False
간통,금정,6.0,2011,135_TX_13501_A048_20260915163340.csv,False
간통,금정,11.0,2012,135_TX_13501_A048_20260915163340.csv,False
간통,금정,3.0,2013,135_TX_13501_A048_20260915163340.csv,False
간통,금정,,2014,135_TX_13501_A048_20260915163340.csv,False
간통,금정,,2015,135_TX_13501_A048_20260915163340.csv,False
간통,금정,,2016,135_TX_13501_A048_20260915163340.csv,False
간통,금정,,2017,135_TX_13501_A048_20260915163340.csv,False
간통,금정,,2018,135_TX_13501_A048_20260915163340.csv,False
간통,금정,,2019,135_TX_13501_A048_20260915163340.csv,False
간통,금정,,2020,135_TX_13501_A048_20260915163340.csv,False
간통,금정,,2021,135_TX_13501_A048_20260915163340.csv,False
간통,금정,,2022,135_TX_13501_A048_20260915163340.csv,False
간통,금정,,2023,135_TX_13501_A048_20260915163340.csv,False
간통,금정,,2024,135_TX_13501_A048_20260915163340.csv,False
간통,금천,,1994,135_TX_13501_A048_20260915163423.csv,False
간통,금천,,1995,135_TX_13501_A048_20260915163423.csv,False
간통,금천,,1996,135_TX_13501_A048_20260915163423.csv,False
간통,금천,,1997,135_TX_13501_A048_20260915163423.csv,False
간통,금천,,1998,135_TX_13501_A048_20260915163423.csv,False
간통,금천,,1999,135_TX_13501_A048_20260915163423.csv,False
간통,금천,,2000,135_TX_13501_A048_20260915163423.csv,False
간통,금천,,2001,135_TX_13501_A048_20260915163423.csv,False
간통,금천,,2002,135_TX_13501_A048_20260915163423.csv,False
간통,금천,,2003,135_TX_13501_A048_20260915163423.csv,False
간통,금천,15.0,2004,135_TX_13501_A048_20260915163423.csv,False
간통,금천,16.0,2005,135_TX_13501_A048_20260915163423.csv,False
간통,금천,13.0,2006,135_TX_13501_A048_20260915163423.csv,False
간통,금천,12.0,2007,135_TX_13501_A048_20260915163423.csv,False
간통,금천,5.0,2008,135_TX_13501_A048_20260915163423.csv,False
간통,금천,11.0,2009,135_TX_13501_A048_20260915163423.csv,False
간통,금천,9.0,2010,135_TX_13501_A048_20260915163423.csv,False
간통,금천,3.0,2011,135_TX_13501_A048_20260915163340.csv,False
간통,금천,8.0,2012,135_TX_13501_A048_20260915163340.csv,False
간통,금천,7.0,2013,135_TX_13501_A048_20260915163340.csv,False
간통,금천,,2014,135_TX_13501_A048_20260915163340.csv,False
간통,금천,,2015,135_TX_13501_A048_20260915163340.csv,False
간통,금천,,2016,135_TX_13501_A048_20260915163340.csv,False
간통,금천,,2017,135_TX_13501_A048_20260915163340.csv,False
간통,금천,,2018,135_TX_13501_A048_20260915163340.csv,False
간통,금천,,2019,135_TX_13501_A048_20260915163340.csv,False
간통,금천,,2020,135_TX_13501_A048_20260915163340.csv,False
간통,금천,,2021,135_TX_13501_A048_20260915163340.csv,False
간통,금천,,2022,135_TX_13501_A048_20260915163340.csv,False
간통,금천,,2023,135_TX_13501_A048_20260915163340.csv,False
간통,금천,,2024,135_TX_13501_A048_20260915163340.csv,False
간통,기장군,,1994,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,,1995,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,,1996,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,,1997,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,,1998,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,,1999,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,,2000,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,,2001,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,,2002,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,,2003,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,9.0,2004,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,5.0,2005,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,5.0,2006,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,7.0,2007,135_TX_13501_A048_20260915163423.csv,False
간통,기장군,3.0,2008,135_TX_13501_A048_20260915163423.csv,False
